,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
16,R-HSA-418555,G alpha (s) signalling events,CHEBI:18357;CHEBI:28918,"['P08588', 'P43250', 'P34947']",,0.0006556515388669304
17,R-HSA-5668914,Diseases of metabolism,CHEBI:16556,['P20774'],,0.1926741698485855
18,R-HSA-5668914,Diseases of metabolism,CHEBI:16680,['P23526'],,0.1926741698485855
19,R-HSA-5668914,Diseases of metabolism,CHEBI:16264,"['P46531', 'P78333', 'Q8NES3']",,0.1926741698485855
20,R-HSA-1280215,Cytokine Signaling in Immune system,CHEBI:16027,"['P05161', 'P19174', 'P41226', 'P20592', 'P20591']",,0.19671049043832417
21,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16556,"['P20774', 'Q16842', 'Q11206', 'Q11201']",,0.13099406073145609
22,R-HSA-71387,Metabolism of carbohydrates,CHEBI:4208,['O00462'],,0.13099406073145609
23,R-HSA-71387,Metabolism of carbohydrates,CHEBI:47013,['Q9H477'],,0.13099406073145609
24,R-HSA-71387,Metabolism of carbohydrates,CHEBI:17659,"['O60512', 'P78333', 'Q9Y2A9', 'O15488', 'Q8NFL0', 'P20774']",,0.13099406073145609
25,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16264,"['Q8NFL0', 'P78333', 'Q9Y2A9', 'P20774']",,0.13099406073145609
26,R-HSA-913709,O-linked glycosylation of mucins,CHEBI:16556,"['Q02505', 'Q8N307', 'Q6W4X9', 'Q9UKN1', 'Q16842', 'Q11206', 'Q11201', 'Q9UJ37']",,0.19565810685450535
27,R-HSA-913709,O-linked glycosylation of mucins,CHEBI:17659,"['Q10472', 'Q8N428', 'Q9Y2A9', 'Q02505', 'Q8N307', 'Q86SF2', 'Q6W4X9', 'Q9BYG0', 'Q6UX72', 'Q8NFL0', 'Q9UKN1', 'Q7Z7M8', 'Q02742']",,0.19565810685450535
28,R-HSA-913709,O-linked glycosylation of mucins,CHEBI:16264,"['Q8NFL0', 'Q9Y2A9', 'Q02505', 'Q8N307', 'Q9BYG0', 'Q6W4X9', 'Q6UX72', 'Q02742', 'Q9UKN1', 'Q7Z7M8']",,0.19565810685450535
29,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",CHEBI:16556,"['P61647', 'Q16842', 'Q11206', 'Q11201', 'Q9UJ37']",,0.13099406073145609
30,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",CHEBI:17659,['Q9Y673'],,0.13099406073145609
31,R-HSA-3781865,Diseases of glycosylation,CHEBI:16556,['P20774'],,0.17792685064819755
32,R-HSA-3781865,Diseases of glycosylation,CHEBI:16264,"['P46531', 'P78333', 'Q8NES3']",,0.17792685064819755
33,R-HSA-74160,Gene expression (Transcription),CHEBI:16027,"['P62487', 'Q12962', 'P52655', 'Q15543', 'Q92750', 'P36954', 'O00268', 'P51948']",,0.15449470835796092
34,R-HSA-74160,Gene expression (Transcription),CHEBI:16680,"['Q15022', 'O43189', 'O75182', 'Q96LA8', 'P0C0S5', 'Q96JY0', 'Q9UBC3', 'Q09028', 'Q96ST3', 'O00422', 'Q9BTM1', 'Q92831', 'P62805', 'O75530', 'Q71DI3']",,0.15449470835796092
35,R-HSA-1474165,Reproduction,CHEBI:16680,"['P62805', 'Q9BTM1', 'P0C0S5', 'Q71DI3']",,1.8715970889759959e-07
36,R-HSA-1474244,Extracellular matrix organization,CHEBI:17659,"['A6NMZ7', 'O60568', 'Q8IYK4', 'P25067', 'P20849', 'P02458', 'Q14050']",,0.06358849527024393
37,R-HSA-212436,Generic Transcription Pathway,CHEBI:16680,"['O75182', 'Q96LA8', 'P0C0S5', 'Q96ST3', 'Q9BTM1', 'Q92831', 'P62805', 'Q71DI3']",,0.03320722096960349
38,R-HSA-388396,GPCR downstream signalling,CHEBI:16027,"['Q9Y233', 'O00408', 'Q08499']",,0.03320722096960349
39,R-HSA-388396,GPCR downstream signalling,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16755;CHEBI:16359;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P04090', 'P10092', 'O43194', 'P63092', 'O60895', 'P08588', 'Q5JWF2', 'Q9HBX9', 'Q03431', 'Q8NGU9', 'P50150', 'O14775', 'P41587', 'P51460', 'P30518', 'O95838']",,0.03320722096960349
40,R-HSA-388396,GPCR downstream signalling,CHEBI:18357;CHEBI:28918,"['P18089', 'P08588', 'P43250', 'P34947', 'P18825']",,0.03320722096960349
41,R-HSA-388396,GPCR downstream signalling,CHEBI:17754,['Q8N2K0'],,0.03320722096960349
42,R-HSA-6782315,tRNA modification in the nucleus and cytosol,CHEBI:16027,"['Q14657', 'Q96S44']",,0.04804374233379222
43,R-HSA-168256,Immune System,CHEBI:16027,"['Q8WVD3', 'Q15034', 'Q05086', 'P19174', 'Q9NXK8', 'Q7L5Y6', 'P41226', 'Q9ULT8', 'Q86WT6', 'P49427', 'Q9NYG5', 'Q17RB8', 'Q8TDB6', 'Q8IYU2', 'Q9UJT9', 'Q8IWV7', 'Q9P2P5', 'Q9H832', 'Q8TC41', 'Q9Y385', 'Q9Y508', 'Q14999', 'Q8IVU3', 'Q5XUX1', 'P30260', 'P05161', 'Q8N1E6', 'Q8NI29', 'Q8IWV8', 'Q13049', 'O95198', 'Q86V97', 'P20591', 'Q9Y6I7', 'Q7Z419', 'P61077', 'Q9BSL1', 'P20592', 'Q9H4M3', 'O43164', 'Q9H0C5', 'Q8WXK3', 'Q8N461']",,0.03320722096960349
44,R-HSA-372790,Signaling by GPCR,CHEBI:16027,"['Q9Y233', 'O00408', 'Q08499']",,0.03320722096960349
45,R-HSA-372790,Signaling by GPCR,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18397;CHEBI:18243;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P04090', 'P10092', 'O43194', 'P63092', 'O60895', 'P08588', 'Q5JWF2', 'Q9HBX9', 'Q03431', 'Q8NGU9', 'P50150', 'O14775', 'P41587', 'P51460', 'P30518', 'O95838']",,0.03320722096960349
46,R-HSA-372790,Signaling by GPCR,CHEBI:18357;CHEBI:28918,"['P18089', 'P08588', 'P43250', 'P34947', 'P18825']",,0.03320722096960349
47,R-HSA-372790,Signaling by GPCR,CHEBI:17754,['Q8N2K0'],,0.03320722096960349
48,R-HSA-372790,Signaling by GPCR,CHEBI:18344,['Q9HC97'],,0.03320722096960349
49,R-HSA-212165,Epigenetic regulation of gene expression,CHEBI:16680,"['Q15022', 'O43189', 'O75182', 'P0C0S5', 'Q9UBC3', 'Q09028', 'O00422', 'Q96ST3', 'Q9BTM1', 'P62805', 'O75530', 'Q71DI3']",,0.04967952280620842
50,R-HSA-5173105,O-linked glycosylation,CHEBI:16556,"['Q02505', 'Q8N307', 'Q6W4X9', 'Q9UKN1', 'Q16842', 'Q11206', 'Q11201', 'Q9UJ37']",,0.13099406073145609
51,R-HSA-5173105,O-linked glycosylation,CHEBI:17659,"['Q8N3Y3', 'Q9UKP4', 'Q8TE56', 'Q8NFL0', 'Q8N428', 'Q9Y2A9', 'Q86SF2', 'Q02742', 'Q8TE58', 'Q7Z7M8', 'Q10472', 'Q8N307', 'Q9BYG0', 'Q6W4X9', 'Q9UKN1', 'P82987', 'Q02505', 'Q9P283', 'Q6UX72']",,0.13099406073145609
52,R-HSA-5173105,O-linked glycosylation,CHEBI:16264,"['Q8NFL0', 'Q9Y2A9', 'Q02505', 'Q8N307', 'Q9BYG0', 'Q6W4X9', 'Q6UX72', 'Q02742', 'Q9UKN1', 'Q7Z7M8']",,0.13099406073145609
53,R-HSA-1638074,Keratan sulfate/keratin metabolism,CHEBI:16556,"['P20774', 'Q16842', 'Q11206', 'Q11201']",,0.15449470835796092
54,R-HSA-1638074,Keratan sulfate/keratin metabolism,CHEBI:17659,"['O60512', 'P20774', 'Q9Y2A9', 'Q8NFL0']",,0.15449470835796092
55,R-HSA-1638074,Keratan sulfate/keratin metabolism,CHEBI:16264,"['Q8NFL0', 'P20774', 'Q9Y2A9']",,0.15449470835796092
56,R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,CHEBI:16556,"['P61647', 'Q16842', 'Q11206', 'Q11201', 'Q9UJ37']",,0.13099406073145609
57,R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,CHEBI:17659,['Q9Y673'],,0.13099406073145609
58,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:17659,['P78333'],,0.17692556833648018
59,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:16264,['P78333'],,0.17692556833648018
